domain,skill,source_rows,assigned_rows,excluded_rows,train_rows,validation_rows,test_rows,train_ratio,validation_ratio,test_ratio,prompt_source_ids,prompt_ids_in_dataset,prompt_ids_in_test,minimum_prompt_ids_required_in_test,prompt_ids_excluded,manifest,input_file,input_sha256,seed,status
it,all_skills,315,315,0,126,32,157,0.4,0.10158730158730159,0.4984126984126984,165,163,5,5,0,manifests/it_all_skills_split_manifest_seed13.csv,processed_IT/dataset_clean_merged_5skills.jsonl,caf538ad548c4b80cb466be20ca61dec3242167cfe4d0b54f5a37d76362ea1b6,13,PASS_MINIMAL_PROMPT_OVERLAP
it,hard_skills,313,313,0,125,31,157,0.3993610223642173,0.09904153354632587,0.5015974440894568,50,49,0,0,0,manifests/it_hard_skills_split_manifest_seed13.csv,processed_IT/by_skill_type/skills_hard_skills.jsonl,1f6eff2cb0908ac9ffe14b8b3dbe878343375ab605cd280e112409c067e37c8a,13,PASS
it,soft_skills,306,306,0,122,31,153,0.39869281045751637,0.10130718954248366,0.5,50,48,0,0,0,manifests/it_soft_skills_split_manifest_seed13.csv,processed_IT/by_skill_type/skills_soft_skills.jsonl,8ac814de041bad2a28acfe78d360f676afe26c35290a7cab52ad48b3d7074024,13,PASS
it,distinct_skills,83,83,0,33,8,42,0.39759036144578314,0.0963855421686747,0.5060240963855421,30,30,0,0,0,manifests/it_distinct_skills_split_manifest_seed13.csv,processed_IT/by_skill_type/skills_distinct_skills.jsonl,bca331ed75d5d63de69cbbd0b2e26950e0626ef735047cd1f2bdb34e8b70063c,13,PASS
it,must_have,286,286,0,114,29,143,0.3986013986013986,0.10139860139860139,0.5,50,50,0,0,0,manifests/it_must_have_split_manifest_seed13.csv,processed_IT/by_skill_type/skills_must_have.jsonl,6056fff64ba69af748fe0e7361e03af68234cf2e05aed864c2e561ea88fcda99,13,PASS
it,nice_to_have,166,166,0,66,17,83,0.39759036144578314,0.10240963855421686,0.5,50,50,0,0,0,manifests/it_nice_to_have_split_manifest_seed13.csv,processed_IT/by_skill_type/skills_nice_to_have.jsonl,c071c212aa93caae39c66f84cb1fd16365fa1f18e07486635143c7413b4650b6,13,PASS
journal,all_skills,322,322,0,129,32,161,0.40062111801242234,0.09937888198757763,0.5,128,128,0,0,0,manifests/journal_all_skills_split_manifest_seed13.csv,processed_journal/dataset_clean_merged_5skills.jsonl,c187937083184fdd01788d84434d7f0ccfa78ac96140de1b391e549b8412bad0,13,PASS
journal,hard_skills,321,321,0,128,32,161,0.3987538940809969,0.09968847352024922,0.5015576323987538,50,50,0,0,0,manifests/journal_hard_skills_split_manifest_seed13.csv,processed_journal/by_skill_type/skills_hard_skills.jsonl,1d554dcd5c9f0d085903403c76d2aec033f4d3a3788e938e3b7c38f8f806c387,13,PASS
journal,soft_skills,283,283,0,113,28,142,0.3992932862190813,0.0989399293286219,0.5017667844522968,49,49,0,0,0,manifests/journal_soft_skills_split_manifest_seed13.csv,processed_journal/by_skill_type/skills_soft_skills.jsonl,818a1e5f3e5d254deb31059f9b63c5eb259309e9e1fb9a1175c4be6bc98a57c1,13,PASS
journal,distinct_skills,197,197,0,79,20,98,0.4010152284263959,0.10152284263959391,0.49746192893401014,49,47,0,0,0,manifests/journal_distinct_skills_split_manifest_seed13.csv,processed_journal/by_skill_type/skills_distinct_skills.jsonl,b281c869c71715dcf47d2930996cf09ee4d90a51609edc176b7cef7daa7df3bf,13,PASS
journal,must_have,321,321,0,128,32,161,0.3987538940809969,0.09968847352024922,0.5015576323987538,50,50,0,0,0,manifests/journal_must_have_split_manifest_seed13.csv,processed_journal/by_skill_type/skills_must_have.jsonl,1cecb9006959b244107a41b8b8aee0f7cb90d76e3320b72d9eeebee1de00b481,13,PASS
journal,nice_to_have,177,177,0,71,18,88,0.4011299435028249,0.1016949152542373,0.4971751412429379,49,49,0,0,0,manifests/journal_nice_to_have_split_manifest_seed13.csv,processed_journal/by_skill_type/skills_nice_to_have.jsonl,a6cad91cd4f93ad7d0d2b83960faa831e02c54e9852862071a0eea0cd68697b6,13,PASS
merged,all_skills,637,637,0,255,64,318,0.4003139717425432,0.10047095761381476,0.49921507064364207,293,291,0,0,0,manifests/merged_all_skills_split_manifest_seed13.csv,processed_merged/dataset_clean_merged_5skills.jsonl,6d79d82bfdc6c77baebee29d9354085fe75bbf0b486041e1e63f54ed22d6781c,13,PASS
merged,hard_skills,634,634,0,254,63,317,0.40063091482649843,0.09936908517350158,0.5,100,99,0,0,0,manifests/merged_hard_skills_split_manifest_seed13.csv,processed_merged/by_skill_type/skills_hard_skills.jsonl,25cb997a130f5eb02e00a634a3b6640bd1d00fba504ad3407e4721b4670020c5,13,PASS
merged,soft_skills,589,589,0,236,59,294,0.400679117147708,0.100169779286927,0.499151103565365,99,97,0,0,0,manifests/merged_soft_skills_split_manifest_seed13.csv,processed_merged/by_skill_type/skills_soft_skills.jsonl,d3c68c8be581cbe1cd8d672865c7a43d2b66bac7c8c8949a8f89e34ab7efbcf5,13,PASS
merged,distinct_skills,280,280,0,112,28,140,0.4,0.1,0.5,79,77,0,0,0,manifests/merged_distinct_skills_split_manifest_seed13.csv,processed_merged/by_skill_type/skills_distinct_skills.jsonl,c0175351799f87ed857b0ead807bd7ffe8fcfd19573732907d88aef68c18b805,13,PASS
