component,verdict,evidence
Exact normalized matching,VALID_HPO_AND_CO_REPORTED,"Same normalization, exact deduplication, global one-to-one matching, test IDs, and gold labels for all five systems; used for HPO and reported alongside the primary cross-configuration metric."
Boundary-relaxed token containment,VALID_PRIMARY_REPORTING,"Same order-invariant token-contiguous rule for all systems; used consistently as the primary cross-configuration reporting metric, with exact results reported for boundary interpretation."
Lexical matching,DIAGNOSTIC_ONLY,"Same token-overlap/LCS maximum and 0.55 threshold for all systems, but the threshold is study-defined and gives partial phrase credit."
Semantic matching,DIAGNOSTIC_ONLY,"Same Swedish sentence-embedding checkpoint, 0.80 threshold, length guard, and train/validation-derived allowlist for all systems; model and threshold dependence preclude primary use."
Macro and micro precision/recall/F1,VALID,"Macro scores weight each advertisement equally; micro scores aggregate matched, predicted, and gold counts. Both are emitted at every matching level."
Prediction filtering,VALID_WITH_DISCLOSURE,"{""BART"": {""filtered_item_rate"": 8.935751943526048e-05, ""unsupported_item_rate"": 0.040216274185620446}, ""BERT"": {""filtered_item_rate"": 0.047096343543721726, ""unsupported_item_rate"": 0.0}, ""Claude"": {""filtered_item_rate"": 0.0005477951246233908, ""unsupported_item_rate"": 0.056849669620291705}, ""GPT"": {""filtered_item_rate"": 0.00047785518472875433, ""unsupported_item_rate"": 0.004759506421556283}, ""Gemini"": {""filtered_item_rate"": 0.0005525709900230238, ""unsupported_item_rate"": 0.010043922965875234}}"
Unsupported-generation rate,VALID_DIAGNOSTIC,"Measured against each system's retained input text. BERT is source-bound, so its structural zero is not a like-for-like hallucination advantage over generative systems."
Canonical test alignment,VALID,All 90 model-domain-skill configurations have every expected test ID in exact canonical order and use canonical gold labels.
LLM source-text alignment,VALID_WITH_MINOR_CAVEAT,126 model-domain-ID rows differ at token boundaries; substantive compact-text differences=0.
Prompt-development overlap,VALID_WITH_SENSITIVITY,Five IT-all test IDs overlap prompt development; maximum absolute containment macro-F1 change after excluding them=0.003292.
BERT/BART versus prompted LLM comparison,DESCRIPTIVE_RESOURCE_REGIME_COMPARISON,"Common scoring makes outputs numerically comparable, but supervised fine-tuning and prompted inference are not matched supervision or adaptation regimes."
LLM API reproducibility and format compliance,NOT_FULLY_RECONSTRUCTABLE,"Provider snapshots, raw API responses, retry histories, and original delimiter/schema failures are absent from retained parsed workbooks."
Statistical ranking claims,DESCRIPTIVE_ONLY,BERT and BART use one training seed and the retained LLM outputs do not provide repeated calls; small winner margins cannot establish significant superiority.
