step,stage,path,purpose
1,Raw annotations,data/raw_annotations/*.xlsx,Human-annotated inputs; publication rights must be checked.
2,Parse and filter,src/data_processing/prepare_filtered_skill_datasets.py,"Produces processed software-developer, journalist, and merged data."
3,Combine five labels,src/data_processing/combine_datasets.py,Produces all_skills_list with exact normalized deduplication.
4,Prompt-safe split,src/splitting/create_prompt_safe_splits.py,Seed 13; identifier-level 40/10/50 split.
5,Build prediction rules,src/prediction_rules/build_prediction_rules.py,Uses frozen external evidence plus train/validation only.
6,Fine-tune,src/training/skill_training_scripts/*.py,Twenty HPO trials and one final seed per configuration.
7,Task-unadapted controls,src/baselines/run_task_unadapted_baselines.py,Runs aligned BERT random-head and raw BART controls without train/validation access.
8,Central scoring,src/evaluation/evaluate_all_models.py,Produces 90 configurations and all audit tables.
9,Paired before-after analysis,src/evaluation/model_comparison.py,Aligns 36 controls to 36 fine-tuned configurations and reports score deltas.
10,Inter-annotator reliability,reliability/reliability_checker.py,Recalculates 10 domain-label rows with bracket-aware parsing and exact-first one-to-one matching.
11,Paper audit,paper/revision_guide.tex,Maps executed methods and results back to the manuscript.
