name,status,checked_items,details
raw_xlsx_to_processed_it,pass,315,"IDs, text, and all five gold-label lists match"
raw_xlsx_to_processed_journal,pass,322,"IDs, text, and all five gold-label lists match"
raw_xlsx_to_processed_merged,pass,637,"IDs, text, and all five gold-label lists match"
raw_annotation_duplicate_policy,pass,1,Journalism duplicate ID occurs twice; first occurrence is retained consistently
split_it_all_skills,pass,315,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_it_hard_skills,pass,313,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_it_soft_skills,pass,306,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_it_distinct_skills,pass,83,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_it_must_have,pass,286,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_it_nice_to_have,pass,166,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_journal_all_skills,pass,322,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_journal_hard_skills,pass,321,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_journal_soft_skills,pass,283,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_journal_distinct_skills,pass,197,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_journal_must_have,pass,321,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_journal_nice_to_have,pass,177,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_merged_all_skills,pass,637,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_merged_hard_skills,pass,634,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_merged_soft_skills,pass,589,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_merged_distinct_skills,pass,280,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_merged_must_have,pass,607,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
split_merged_nice_to_have,pass,343,Manifest and JSONL partitions exactly cover the canonical processed IDs and gold labels
llm_raw_workbook_gpt_it,pass,315,Normalized JSONL preserves every nonblank workbook row and model output
llm_raw_workbook_gpt_journal,pass,323,Normalized JSONL preserves every nonblank workbook row and model output
llm_raw_workbook_gemini_it,pass,315,Normalized JSONL preserves every nonblank workbook row and model output
llm_raw_workbook_gemini_journal,pass,323,Normalized JSONL preserves every nonblank workbook row and model output
llm_raw_workbook_claude_it,pass,315,Normalized JSONL preserves every nonblank workbook row and model output
llm_raw_workbook_claude_journal,pass,323,Normalized JSONL preserves every nonblank workbook row and model output
fine_tuned_bart_it_all_skills,pass,157,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_it_distinct_skills,pass,42,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_it_hard_skills,pass,157,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_it_must_have,pass,143,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_it_nice_to_have,pass,83,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_it_soft_skills,pass,153,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_journal_all_skills,pass,161,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_journal_distinct_skills,pass,98,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_journal_hard_skills,pass,161,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_journal_must_have,pass,161,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_journal_nice_to_have,pass,88,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_journal_soft_skills,pass,142,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_merged_all_skills,pass,318,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_merged_distinct_skills,pass,140,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_merged_hard_skills,pass,317,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_merged_must_have,pass,303,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_merged_nice_to_have,pass,172,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bart_merged_soft_skills,pass,294,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_it_all_skills,pass,157,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_it_distinct_skills,pass,42,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_it_hard_skills,pass,157,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_it_must_have,pass,143,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_it_nice_to_have,pass,83,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_it_soft_skills,pass,153,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_journal_all_skills,pass,161,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_journal_distinct_skills,pass,98,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_journal_hard_skills,pass,161,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
fine_tuned_bert_journal_must_have,pass,161,"ZIP, canonical test IDs, gold serialization, 20 HPO trials, best score, and validation receipt agree"
