claim,paper_metric,status_under_paper_metric,paper_metric_evidence,status_under_exact_metric,exact_metric_evidence
Gemini leads software developers; BERT leads journalism and merged,containment_macro_f1,SUPPORTED,"{""it"": [""Gemini"", 0.651848777672389], ""journal"": [""BERT"", 0.6872453129845435], ""merged"": [""BERT"", 0.6699051643153565]}",SUPPORTED,"{""it"": [""Gemini"", 0.44224020725622076], ""journal"": [""BERT"", 0.429558969117833], ""merged"": [""BERT"", 0.4537707845110432]}"
BERT leads 13 of 18 domain-skill cells and prompted models lead five,containment_macro_f1,SUPPORTED,"{""BERT"": 13, ""Gemini"": 4, ""Claude"": 1}",NOT_SUPPORTED,"{""BERT"": 12, ""GPT"": 2, ""Gemini"": 3, ""BART"": 1}"
BART does not lead any domain-skill cell,containment_macro_f1,SUPPORTED,BART winners=0,NOT_SUPPORTED,BART winners=1
"BERT leads all-skills, hard-skills, and soft-skills in every domain",containment_macro_f1,SUPPORTED,it/all_skills=BERT; it/hard_skills=BERT; it/soft_skills=BERT; journal/all_skills=BERT; journal/hard_skills=BERT; journal/soft_skills=BERT; merged/all_skills=BERT; merged/hard_skills=BERT; merged/soft_skills=BERT,NOT_SUPPORTED,it/all_skills=BERT; it/hard_skills=BERT; it/soft_skills=BERT; journal/all_skills=BERT; journal/hard_skills=BERT; journal/soft_skills=BART; merged/all_skills=BERT; merged/hard_skills=BERT; merged/soft_skills=BERT
GPT does not lead an individual domain-skill cell,containment_macro_f1,SUPPORTED,GPT winners=0,NOT_SUPPORTED,GPT winners=2
Prompted-model wins are concentrated on distinct and nice-to-have skills,containment_macro_f1,SUPPORTED,"{""prompted_wins"": 5, ""distinct_or_nice_wins"": 4, ""share"": 0.8, ""by_skill"": {""distinct_skills"": 1, ""must_have"": 1, ""nice_to_have"": 3}}",SUPPORTED,"{""prompted_wins"": 5, ""distinct_or_nice_wins"": 4, ""share"": 0.8, ""by_skill"": {""distinct_skills"": 1, ""must_have"": 1, ""nice_to_have"": 3}}"
The best-model distinct-skill score is the lowest best-model skill score in every domain,containment_macro_f1,SUPPORTED,"{""it"": ""distinct_skills"", ""journal"": ""distinct_skills"", ""merged"": ""distinct_skills""}",NOT_EVALUATED_FOR_THIS_WORDING,See skill_winners_exact.csv
The best-model nice-to-have score is the highest best-model skill score in every domain,containment_macro_f1,SUPPORTED,"{""it"": ""nice_to_have"", ""journal"": ""nice_to_have"", ""merged"": ""nice_to_have""}",NOT_EVALUATED_FOR_THIS_WORDING,See skill_winners_exact.csv
Distinct skills are lowest after averaging all five models within every domain,containment_macro_f1,SUPPORTED,"{""it"": ""distinct_skills"", ""journal"": ""distinct_skills"", ""merged"": ""distinct_skills""}",NOT_EVALUATED_FOR_THIS_WORDING,See domain_skill_means.csv
The exact-to-containment gap is largest in journalism,mean containment_macro_f1 minus exact_macro_f1,SUPPORTED,"{""it"": 0.19377684990011793, ""journal"": 0.23398705661566982, ""merged"": 0.21999381090800166}",NOT_APPLICABLE,This claim is itself a metric gap
BERT outperforms BART after fine-tuning in every domain mean,containment_macro_f1,SUPPORTED,"it: BERT=0.621195, BART=0.489398; journal: BERT=0.687245, BART=0.475630; merged: BERT=0.669905, BART=0.527940",SUPPORTED,"it: BERT=0.438092, BART=0.332614; journal: BERT=0.429559, BART=0.314530; merged: BERT=0.453771, BART=0.354531"
"The domain winner pattern is stable across exact, containment, lexical, and semantic metrics",all four matching levels,SUPPORTED,"{""exact"": {""it"": [""Gemini"", 0.44224020725622076], ""journal"": [""BERT"", 0.429558969117833], ""merged"": [""BERT"", 0.4537707845110432]}, ""containment"": {""it"": [""Gemini"", 0.651848777672389], ""journal"": [""BERT"", 0.6872453129845435], ""merged"": [""BERT"", 0.6699051643153565]}, ""lexical"": {""it"": [""Gemini"", 0.6539365874910218], ""journal"": [""BERT"", 0.6890621365999414], ""merged"": [""BERT"", 0.6710574207888067]}, ""semantic"": {""it"": [""Gemini"", 0.6587748514363149], ""journal"": [""BERT"", 0.6899204342993022], ""merged"": [""BERT"", 0.671808717876775]}}",SAME_AS_PAPER_METRIC,This claim explicitly compares all four levels
Best domain-level model scores remain below the lower human containment-agreement bound of 0.714,containment_macro_f1,SUPPORTED,"{""it"": [""Gemini"", 0.651848777672389], ""journal"": [""BERT"", 0.6872453129845435], ""merged"": [""BERT"", 0.6699051643153565]}",NOT_APPLICABLE,The reference bound is a containment-agreement value
Fine-tuning substantially improves BERT and BART over task-unadapted controls,containment_macro_f1,SUPPORTED,"{""configurations"": 36, ""exact_macro_f1_improved"": 36, ""containment_macro_f1_improved"": 36, ""source"": ""results/before_after/before_after_by_configuration.csv""}",SUPPORTED,"{""configurations"": 36, ""exact_macro_f1_improved"": 36, ""containment_macro_f1_improved"": 36, ""source"": ""results/before_after/before_after_by_configuration.csv""}"
