family,domain,skill,zip_name,zip_path,schema_version,run_name,seed,model_name,model_revision,finetuned,uses_training_partition,uses_validation_partition,baseline_definition,test_file,test_sha256,test_rows,prediction_rules_file,prediction_rules_sha256,input_builder,prediction_postprocessing,scoring_location,decoding,classifier_head_sha256,python_version,torch_version,transformers_version
bert,it,all_skills,bert_task_unadapted_it_all_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_it_all_skills_outputs.zip,task-unadapted-baseline,bert_it_all_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-it/prompt_safe_splits_40_10_50/datasets/it/all_skills/it_all_skills_test_seed13.jsonl,dfb77ace17445bf957a5a54d1189bd8c5636d2ce3652a6ebd2a1ae7c33710c3c,157,/kaggle/working/academic_prediction_rules/it_all_skills_rules.json,5a0a782a856de00fcd2d2ef0b5583e76fb881d2890b7eee83d67bfc1d7149e33,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,it,hard_skills,bert_task_unadapted_it_hard_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_it_hard_skills_outputs.zip,task-unadapted-baseline,bert_it_hard_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-it/prompt_safe_splits_40_10_50/datasets/it/hard_skills/it_hard_skills_test_seed13.jsonl,36c71ea201f49fc1c1e9468934e09ba884f6568aa34cef007e9ef2550b1a6ee3,157,/kaggle/working/academic_prediction_rules/it_hard_skills_rules.json,1faa7d5e44b131e0286961986751393a165ba37618443bcbf3799473757a3592,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,it,soft_skills,bert_task_unadapted_it_soft_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_it_soft_skills_outputs.zip,task-unadapted-baseline,bert_it_soft_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-it/prompt_safe_splits_40_10_50/datasets/it/soft_skills/it_soft_skills_test_seed13.jsonl,e5ec4020eff40e33435759b5e5f7c8fccac23d2be4b5bc4e1b8857efe3ebc8ab,153,/kaggle/working/academic_prediction_rules/it_soft_skills_rules.json,f0e8bd8c8b88420bbcfc82a1e8d83379e07cd2b44ddb6e8d205348dda628fbcd,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,it,distinct_skills,bert_task_unadapted_it_distinct_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_it_distinct_skills_outputs.zip,task-unadapted-baseline,bert_it_distinct_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-it/prompt_safe_splits_40_10_50/datasets/it/distinct_skills/it_distinct_skills_test_seed13.jsonl,bc71cc1890525c2e31cdd179e07a1664f1188c83ca4e2abece1b9184edfe78e8,42,/kaggle/working/academic_prediction_rules/it_distinct_skills_rules.json,7787a5059db2e2df2633c3fc5695cf8d784aaaa1cd9502a3dae8a168dd404fe1,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,it,must_have,bert_task_unadapted_it_must_have_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_it_must_have_outputs.zip,task-unadapted-baseline,bert_it_must_have_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-it/prompt_safe_splits_40_10_50/datasets/it/must_have/it_must_have_test_seed13.jsonl,b7c792739fbdf8f533d7efc95cd9527175d9ac72b2aa6d3e2cc5f676292021a0,143,/kaggle/working/academic_prediction_rules/it_must_have_rules.json,13d40585f7e622fbfde0536d56ca47530addc6a43975aef7d8fc9d4f33f40751,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,it,nice_to_have,bert_task_unadapted_it_nice_to_have_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_it_nice_to_have_outputs.zip,task-unadapted-baseline,bert_it_nice_to_have_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-it/prompt_safe_splits_40_10_50/datasets/it/nice_to_have/it_nice_to_have_test_seed13.jsonl,fabf4731aef624af2569b959cb541df04964fff66565d4f01684e15a789e67ac,83,/kaggle/working/academic_prediction_rules/it_nice_to_have_rules.json,46d4428f668c42960abfde7b5d80c6e1b20a0f7edeb3328baf7d7ed3d3244e95,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,journal,all_skills,bert_task_unadapted_journal_all_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_journal_all_skills_outputs.zip,task-unadapted-baseline,bert_journal_all_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-journal/prompt_safe_splits_40_10_50/datasets/journal/all_skills/journal_all_skills_test_seed13.jsonl,da9c712f26a2af62634528ee9ff9ec72152761029b22b50e0fbe8cfec354cd5b,161,/kaggle/working/academic_prediction_rules/journal_all_skills_rules.json,a965d94d26a73aab3349e58de3a2e0b5991f445cbfa134227df88a2daca60bdd,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,journal,hard_skills,bert_task_unadapted_journal_hard_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_journal_hard_skills_outputs.zip,task-unadapted-baseline,bert_journal_hard_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-journal/prompt_safe_splits_40_10_50/datasets/journal/hard_skills/journal_hard_skills_test_seed13.jsonl,a5fd74d554a9db9bd9baab8a3a0707bf157a45f2d3f9589602ac4bdc367abc05,161,/kaggle/working/academic_prediction_rules/journal_hard_skills_rules.json,ed2ba0634853af636b6c0d7e0ae2bc7d4c9a3ad39607d063d5928d5ebb2246b3,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,journal,soft_skills,bert_task_unadapted_journal_soft_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_journal_soft_skills_outputs.zip,task-unadapted-baseline,bert_journal_soft_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-journal/prompt_safe_splits_40_10_50/datasets/journal/soft_skills/journal_soft_skills_test_seed13.jsonl,381133083d0ba5ce82b596107170f6c55cbf163acdca264dad1471acd764c3b1,142,/kaggle/working/academic_prediction_rules/journal_soft_skills_rules.json,d2e9478cf98ba3ad15ba5ca6fce539ee8701659a4dd5289e213991a7c926fe5a,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,journal,distinct_skills,bert_task_unadapted_journal_distinct_skills_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_journal_distinct_skills_outputs.zip,task-unadapted-baseline,bert_journal_distinct_skills_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-journal/prompt_safe_splits_40_10_50/datasets/journal/distinct_skills/journal_distinct_skills_test_seed13.jsonl,b206375bd3a166f39821de6482bc6ea595909f8cf2f93999d26945ef05b944e0,98,/kaggle/working/academic_prediction_rules/journal_distinct_skills_rules.json,89781198f4540bc24941060943042d05013935d4783aac1b42749d2433fcedae,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
bert,journal,must_have,bert_task_unadapted_journal_must_have_outputs.zip,/Users/Yuki/KeywordE/Split_data/update_data/task_unadapted_baseline_results/outputs/bert-task-unadapted-it-journal/bert_task_unadapted_journal_must_have_outputs.zip,task-unadapted-baseline,bert_journal_must_have_task_unadapted,13,KBLab/bert-base-swedish-cased,ce7c3424687f042f1320e0528293d492c82918c4,False,False,False,"Pretrained encoder plus a fixed-seed randomly initialized BIO head, with no task training",/kaggle/input/datasets/nguyenthanhminh01/new-journal/prompt_safe_splits_40_10_50/datasets/journal/must_have/journal_must_have_test_seed13.jsonl,927efc4673e7ab4c6c57440727a869d3a17db8be36271ce6a89b9549a9faf395,161,/kaggle/working/academic_prediction_rules/journal_must_have_rules.json,ed96a20d6a4319fb39412a8566b4e3a6a0f5a17967f5e540c036c041bc136257,"headline.strip() + '\n' + description.strip(), omitting empty fields","Evaluation pipeline surface normalization, exact deduplication, and frozen train/validation-derived fragment rules; no nested-skill collapse",Metrics are recomputed after download by the central evaluation pipeline scorer,"{'max_length': 512, 'document_stride': 128}",acb23b033fa94e13f9b4032420fb571eec551a7ec0e1ca93c454aa2a7c1ab198,3.12.13,2.10.0+cu128,5.0.0
